propeller_index	utf_decimal	utf_hex	utf_name	comment	utf8_character
173	61613	f0ad	PRIVATE USE	Vertical capacitor (middle)	
174	61614	f0ae	PRIVATE USE	Vertical capacitor (right)	
175	61615	f0af	PRIVATE USE	Horizontal line with vertical bar at right, Battery minus (wire at left)	
176	176	b0	DEGREE SIGN		°
177	177	b1	PLUS-MINUS SIGN		±
178	178	b2	SUPERSCRIPT TWO		²
179	179	b3	SUPERSCRIPT THREE		³
180	61620	f0b4	PRIVATE USE	Horizontal line with vertical bar at left, Battery minus (wire at right)	
181	181	b5	MICRO SIGN		µ
182	61622	f0b6	PRIVATE USE	Vertical inductor/coil	
183	61623	f0b7	PRIVATE USE	Horizontal inductor/coil (left)	
184	61624	f0b8	PRIVATE USE	Horizontal inductor/coil (right)	
185	185	b9	SUPERSCRIPT ONE		¹
186	61626	f0ba	PRIVATE USE	Horizontal line with outwards arrow at left, Horizontal plug at left, Variable terminal at left, P-channel FET (left; use with 25 and 27)	
187	61627	f0bb	PRIVATE USE	Horizontal line with outwards arrow at right, Horizontal plug at right, Variable terminal at right, N-channel FET (left; use with 25 and 27)	
188	61628	f0bc	PRIVATE USE	Vertical resistor	
189	61629	f0bd	PRIVATE USE	Horizontal resistor (left)	
190	61630	f0be	PRIVATE USE	Horizontal resistor (right)	
191	191	bf	INVERTED QUESTION MARK		¿
192	192	c0	LATIN CAPITAL LETTER A WITH GRAVE		À
193	193	c1	LATIN CAPITAL LETTER A WITH ACUTE		Á
194	194	c2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX		Â
195	195	c3	LATIN CAPITAL LETTER A WITH TILDE		Ã
196	196	c4	LATIN CAPITAL LETTER A WITH DIAERESIS		Ä
197	197	c5	LATIN CAPITAL LETTER A WITH RING ABOVE		Å
198	198	c6	LATIN CAPITAL LETTER AE		Æ
199	199	c7	LATIN CAPITAL LETTER C WITH CEDILLA		Ç
200	200	c8	LATIN CAPITAL LETTER E WITH GRAVE		È
201	201	c9	LATIN CAPITAL LETTER E WITH ACUTE		É
202	202	ca	LATIN CAPITAL LETTER E WITH CIRCUMFLEX		Ê
203	203	cb	LATIN CAPITAL LETTER E WITH DIAERESIS		Ë
204	204	cc	LATIN CAPITAL LETTER I WITH GRAVE		Ì
205	205	cd	LATIN CAPITAL LETTER I WITH ACUTE		Í
206	206	ce	LATIN CAPITAL LETTER I WITH CIRCUMFLEX		Î
207	207	cf	LATIN CAPITAL LETTER I WITH DIAERESIS		Ï
208	208	d0	LATIN CAPITAL LETTER ETH		Ð
209	209	d1	LATIN CAPITAL LETTER N WITH TILDE		Ñ
210	210	d2	LATIN CAPITAL LETTER O WITH GRAVE		Ò
211	211	d3	LATIN CAPITAL LETTER O WITH ACUTE		Ó
212	212	d4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX		Ô
213	213	d5	LATIN CAPITAL LETTER O WITH TILDE		Õ
214	214	d6	LATIN CAPITAL LETTER O WITH DIAERESIS		Ö
215	215	d7	MULTIPLICATION SIGN		×
216	216	d8	LATIN CAPITAL LETTER O WITH STROKE		Ø
217	217	d9	LATIN CAPITAL LETTER U WITH GRAVE		Ù
218	218	da	LATIN CAPITAL LETTER U WITH ACUTE		Ú
219	219	db	LATIN CAPITAL LETTER U WITH CIRCUMFLEX		Û
220	220	dc	LATIN CAPITAL LETTER U WITH DIAERESIS		Ü
221	221	dd	LATIN CAPITAL LETTER Y WITH ACUTE		Ý
222	222	de	LATIN CAPITAL LETTER THORN		Þ
223	223	df	LATIN SMALL LETTER SHARP S		ß
224	224	e0	LATIN SMALL LETTER A WITH GRAVE		à
225	225	e1	LATIN SMALL LETTER A WITH ACUTE		á
226	226	e2	LATIN SMALL LETTER A WITH CIRCUMFLEX		â
227	227	e3	LATIN SMALL LETTER A WITH TILDE		ã
228	228	e4	LATIN SMALL LETTER A WITH DIAERESIS		ä
229	229	e5	LATIN SMALL LETTER A WITH RING ABOVE		å
230	230	e6	LATIN SMALL LETTER AE		æ
231	231	e7	LATIN SMALL LETTER C WITH CEDILLA		ç
232	232	e8	LATIN SMALL LETTER E WITH GRAVE		è
233	233	e9	LATIN SMALL LETTER E WITH ACUTE		é
234	234	ea	LATIN SMALL LETTER E WITH CIRCUMFLEX		ê
235	235	eb	LATIN SMALL LETTER E WITH DIAERESIS		ë
236	236	ec	LATIN SMALL LETTER I WITH GRAVE		ì
237	237	ed	LATIN SMALL LETTER I WITH ACUTE		í
238	238	ee	LATIN SMALL LETTER I WITH CIRCUMFLEX		î
239	239	ef	LATIN SMALL LETTER I WITH DIAERESIS		ï
240	240	f0	LATIN SMALL LETTER ETH		ð
241	241	f1	LATIN SMALL LETTER N WITH TILDE		ñ
242	242	f2	LATIN SMALL LETTER O WITH GRAVE		ò
243	243	f3	LATIN SMALL LETTER O WITH ACUTE		ó
244	244	f4	LATIN SMALL LETTER O WITH CIRCUMFLEX		ô
245	245	f5	LATIN SMALL LETTER O WITH TILDE		õ
246	246	f6	LATIN SMALL LETTER O WITH DIAERESIS		ö
247	247	f7	DIVISION SIGN		÷
248	248	f8	LATIN SMALL LETTER O WITH STROKE		ø
249	249	f9	LATIN SMALL LETTER U WITH GRAVE		ù
250	250	fa	LATIN SMALL LETTER U WITH ACUTE		ú
251	251	fb	LATIN SMALL LETTER U WITH CIRCUMFLEX		û
252	252	fc	LATIN SMALL LETTER U WITH DIAERESIS		ü
253	253	fd	LATIN SMALL LETTER Y WITH ACUTE		ý
254	254	fe	LATIN SMALL LETTER THORN		þ
255	8734	221e	INFINITY		∞

